Unnamed: 0,system,snr,iinit,TE,TEinf,expr_model,method,data_version,exp_version,benchmark,duration,dM
0,lv,inf,0,1221414.9523171673,1221414.9523171673,"[['-2.302 x + -1.739 y + 2.669 y^2 + 4.922 x^3 + -0.902 y^3', '-46.081 1 + 67.847 y + -4.627 x^2 + -32.665 y^2 + -1.809 x^3 + 5.130 y^3']]",sindy,all,e1,strogatz,8.031955480575562,11
1,lv,30.0,0,1.1242641217783231,1.034722513046122,"[['-1.803 x^2 + -0.429 x*y', '-4.556 x^2']]",sindy,all,e1,strogatz,0.7992074489593506,7
2,lv,13.0,0,1.918310332618292,3.913889229902463,"[['-3.806 x^2', '-0.160 1 + 1.740 x^2*y']]",sindy,all,e1,strogatz,0.1130578517913818,7
3,lv,inf,1,1.592471732914614,1.592471732914614,"[['0.114 1 + -9.188 y^3', '-1.932 y^2 + -0.330 y^3']]",sindy,all,e1,strogatz,1.861921548843384,8
4,lv,30.0,1,1.1876455032973483,1.1453789644014558,"[['0.061 1 + 0.982 y + -11.056 y^3', '-1.858 y^2 + -0.463 y^3']]",sindy,all,e1,strogatz,0.3384370803833008,9
5,lv,13.0,1,1381362.734681542,3413838.883896,"[['-1.126 1 + 11.955 y + -13.787 y^2 + 0.028 x^3 + -0.572 x^2*y', '-1.872 y^2']]",sindy,all,e1,strogatz,0.0900006294250488,10
6,lv,inf,2,0.8027990957788804,0.8027990957788804,"[['4.183 1 + -0.490 x^2 + -17.495 y^2 + 0.479 x^2*y', '-0.426 y + -2.011 y^2']]",sindy,all,e1,strogatz,1.7338173389434814,6
7,lv,30.0,2,4.248199057673734,4.222417587001897,"[['-0.210 1 + 9.326 y + -27.193 y^2 + 0.402 x^2*y', '-0.392 y + -1.997 y^2']]",sindy,all,e1,strogatz,0.2936906814575195,8
8,lv,13.0,2,1.5173898581914795,1.6636824429069814,"[['1.215 1 + 2.306 y + -0.097 x^2 + -17.054 y^2 + 0.236 x^2*y', '-0.223 y + -1.999 y^2']]",sindy,all,e1,strogatz,0.1391468048095703,7
9,lv,inf,3,0.8762267909550056,0.8762267909550056,"[['-1.324 x^2', '0.126 1 + -0.960 x^2']]",sindy,all,e1,strogatz,1.0427260398864746,7
10,lv,30.0,3,0.924412185010427,0.8986082622627817,"[['-1.320 x^2', '0.126 1 + -0.956 x^2']]",sindy,all,e1,strogatz,0.3581137657165527,7
11,lv,13.0,3,1.454838389722516,2.04126163352729,"[['-1.132 x^2 + -0.039 x^2*y + -0.022 y^2*x', '0.073 1 + -0.815 x^2 + -0.053 y^2*x']]",sindy,all,e1,strogatz,0.0712695121765136,10
